,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-01-01 00:00:00,1640995200000.0,0.00031626,0.00032087,0.00030767,0.00030879,204746.2,1641038399999.0,64.11465535,8667.0,109312.4,34.2443297,0.0
2022-01-01 12:00:00,1641038400000.0,0.00030887,0.00032324,0.00030805,0.00031782,244396.4,1641081599999.0,76.91987934,8888.0,110821.8,34.95700926,0.0
2022-01-02 00:00:00,1641081600000.0,0.00031779,0.00032216,0.00030943,0.00030971,172140.4,1641124799999.0,54.36526605,10675.0,74473.0,23.53316893,0.0
2022-01-02 12:00:00,1641124800000.0,0.00030972,0.00031036,0.00030328,0.0003045,260587.2,1641167999999.0,79.89111042,8995.0,129116.3,39.59827265,0.0
2022-01-03 00:00:00,1641168000000.0,0.0003043,0.00031073,0.00029728,0.00030844,276964.2,1641211199999.0,83.87674469,13025.0,129087.0,39.10752358,0.0
2022-01-03 12:00:00,1641211200000.0,0.00030847,0.00035516,0.00030833,0.00035499,967370.5,1641254399999.0,322.83389718,28012.0,519467.6,173.35388217,0.0
2022-01-04 00:00:00,1641254400000.0,0.00035499,0.000375,0.00034991,0.00036302,893554.28,1641297599999.0,324.68106904,36672.0,459897.98,167.0242386,0.0
2022-01-04 12:00:00,1641297600000.0,0.00036312,0.00037797,0.00034751,0.00034971,1245167.2,1641340799999.0,451.35577911,35693.0,602687.8,218.34148298,0.0
2022-01-05 00:00:00,1641340800000.0,0.00034972,0.00037369,0.0003461,0.00036858,574069.2,1641383999999.0,205.65389401,22391.0,300630.7,107.63860998,0.0
2022-01-05 12:00:00,1641384000000.0,0.00036854,0.00037051,0.00032872,0.00035207,1094931.1,1641427199999.0,386.22520219,32485.0,480889.9,169.51125627,0.0
2022-01-06 00:00:00,1641427200000.0,0.00035244,0.0003713,0.00034468,0.00036572,1254712.1,1641470399999.0,446.24025142,41227.0,566280.2,202.26983097,0.0
2022-01-06 12:00:00,1641470400000.0,0.00036568,0.000376,0.000356,0.0003699,859350.6,1641513599999.0,315.26965952,25489.0,438364.1,161.00902453,0.0
2022-01-07 00:00:00,1641513600000.0,0.00036999,0.00037187,0.000346,0.00035894,987872.7,1641556799999.0,354.23975382,33085.0,415760.1,149.20919111,0.0
2022-01-07 12:00:00,1641556800000.0,0.00035919,0.00038284,0.0003569,0.00036204,729595.2,1641599999999.0,267.64985372,23152.0,324447.4,119.19849622,0.0
2022-01-08 00:00:00,1641600000000.0,0.00036244,0.00036988,0.00035808,0.00036119,296544.8,1641643199999.0,108.20642757,15102.0,127732.8,46.64188268,0.0
2022-01-08 12:00:00,1641643200000.0,0.00036115,0.00036247,0.00032797,0.00033172,1388910.6,1641686399999.0,477.72406438,36256.0,668505.6,229.56081755,0.0
2022-01-09 00:00:00,1641686400000.0,0.00033142,0.00033593,0.00031627,0.00032185,459746.7,1641729599999.0,149.55579828,17232.0,221085.1,71.95232041,0.0
2022-01-09 12:00:00,1641729600000.0,0.00032185,0.00033564,0.00031869,0.00032277,342468.9,1641772799999.0,111.51076009,12590.0,175292.8,57.1251717,0.0
2022-01-10 00:00:00,1641772800000.0,0.00032305,0.00035,0.00031612,0.00033963,921955.9,1641815999999.0,308.16796433,27432.0,460457.0,153.89529379,0.0
2022-01-10 12:00:00,1641816000000.0,0.00033985,0.00037187,0.00033402,0.00037006,1435658.8,1641859199999.0,510.63905047,44172.0,713984.1,254.40470556,0.0
2022-01-11 00:00:00,1641859200000.0,0.00037027,0.0003966,0.00036654,0.00038298,1200226.85,1641902399999.0,461.03231344,43347.0,528359.45,203.11605907,0.0
2022-01-11 12:00:00,1641902400000.0,0.00038309,0.00043064,0.0003813,0.00042225,1209699.05,1641945599999.0,493.35734252,42537.0,632431.65,257.79978001,0.0
2022-01-12 00:00:00,1641945600000.0,0.00042224,0.00044098,0.00041472,0.00042602,884508.16,1641988799999.0,377.11358344,37739.0,435006.76,185.73718734,0.0
2022-01-12 12:00:00,1641988800000.0,0.00042574,0.00042574,0.0003965,0.00040007,653245.3,1642031999999.0,267.08221268,23565.0,328963.7,134.47106396,0.0
