,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599872440955461632,1599872440955461632,1670274288000.0,2022-12-06 02:34:48,+0530,,[DB] FTC Is Investigating Crypto Firms Over Misleading Advertising: BBG  Consumer Protection Agency Says Probing ‘Possible Misconduct’,en,[],[],2361601055,2361601055,tier10k,db,2,02,https://twitter.com/tier10k/status/1599872440955461632,[],[],0,,False,174,37,24,,None,,,,,,,[],,,,
1,1599861082033901569,1599861082033901569,1670271580000.0,2022-12-06 01:49:40,+0530,,"Waters says recent media appearances show Sam has sufficient information to testify  ""It is imperative that you attend our hearing on the 13th""  I wouldn't bet on it  https://t.co/6FX4CGenyG",en,[],[],2361601055,2361601055,tier10k,db,2,01,https://twitter.com/tier10k/status/1599861082033901569,[],['https://pbs.twimg.com/media/FjPY81mXEBArzxk.png'],1,https://pbs.twimg.com/media/FjPY81mXEBArzxk.png,False,215,25,11,,None,,,,,,,[],,,,
2,1599829751648374785,1599810841359966213,1670264110000.0,2022-12-05 23:45:10,+0530,,@KuroXLB @NaniXBT 🥹,und,[],[],2361601055,2361601055,tier10k,db,1,23,https://twitter.com/tier10k/status/1599829751648374785,[],[],0,,False,18,0,0,,None,,,,,,,"[{'screen_name': 'KuroXLB', 'name': 'Kuro', 'id': '1366591236157698050'}, {'screen_name': 'NaniXBT', 'name': 'nani', 'id': '972557412577284096'}]",,,,
3,1599816654015315969,1599816629625528320,1670260988000.0,2022-12-05 22:53:08,+0530,, https://t.co/J9B46b6OuT,zxx,[],[],2361601055,2361601055,tier10k,db,1,22,https://twitter.com/tier10k/status/1599816654015315969,['https://nexo.io/blog/nexo-announces-gradual-departure-from-the-united-states'],[],0,,False,130,6,15,,None,,,,,,,[],,,,
4,1599816629625528320,1599816629625528320,1670260982000.0,2022-12-05 22:53:02,+0530,,[DB] Nexo Will Be Phasing Out Its Products and Services in the United States in a Gradual and Orderly Fashion Over the Coming Months,en,[],[],2361601055,2361601055,tier10k,db,1,22,https://twitter.com/tier10k/status/1599816629625528320,[],[],0,,False,406,55,54,,None,,,,,,,[],,,,
5,1599804385173065734,1599804385173065734,1670258063000.0,2022-12-05 22:04:23,+0530,,ProShares Short Bitcoin ETF launched on June 21st  Since then bitcoin has fallen 17.5%  $BITI is... down 1.2%  https://t.co/kYd5GhToEU,en,[],['biti'],2361601055,2361601055,tier10k,db,1,22,https://twitter.com/tier10k/status/1599804385173065734,[],['https://pbs.twimg.com/media/FjOlJVCWQAI2xrS.jpg'],1,https://pbs.twimg.com/media/FjOlJVCWQAI2xrS.jpg,False,451,50,20,,None,,,,,,,[],,,,
6,1599801045840171011,1599796372613758976,1670257266000.0,2022-12-05 21:51:06,+0530,,"@cmsintern Keep going, this will help  https://t.co/pedvfY7xOg",en,[],[],2361601055,2361601055,tier10k,db,1,21,https://twitter.com/tier10k/status/1599801045840171011,[],['https://pbs.twimg.com/media/FjOihDKXEAE1DWa.png'],1,https://pbs.twimg.com/media/FjOihDKXEAE1DWa.png,False,100,1,2,,None,,,,,,,"[{'screen_name': 'cmsintern', 'name': 'CMS intern', 'id': '1354120919460040711'}]",,,,
7,1599796372613758976,1599796372613758976,1670256152000.0,2022-12-05 21:32:32,+0530,,Praying for @cmsintern who has to condense this year into a 2-minute video,en,[],[],2361601055,2361601055,tier10k,db,1,21,https://twitter.com/tier10k/status/1599796372613758976,[],[],0,,False,314,23,1,,None,,,,,,,[],,,,
8,1599774386529005568,1599773347646435328,1670250910000.0,2022-12-05 20:05:10,+0530,,@trader1tj On hold unless the people want it. Do you get any value from knowing the change at open and close?,en,[],[],2361601055,2361601055,tier10k,db,1,20,https://twitter.com/tier10k/status/1599774386529005568,[],[],0,,False,3,2,0,,None,,,,,,,"[{'screen_name': 'trader1tj', 'name': 'TraderTJ', 'id': '3076882499'}]",,,,
9,1599751591548129280,1599751317307662337,1670245476000.0,2022-12-05 18:34:36,+0530,, https://t.co/9zOQth4HSC,zxx,[],[],2361601055,2361601055,tier10k,db,1,18,https://twitter.com/tier10k/status/1599751591548129280,['https://www.prnewswire.com/news-releases/circle-and-concord-acquisition-corp-mutually-agree-to-terminate-proposed-business-combination-301694560.html'],[],0,,False,90,9,9,,None,,,,,,,[],,,,
