,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599868195304665088,1599865915163561984,1670273276000.0,2022-12-06 02:17:56,+0530,,@Kasperbit True,en,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,2,02,https://twitter.com/simonbuidl/status/1599868195304665088,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'Kasperbit', 'name': 'Kasper', 'id': '1105248273714024448'}]",,,,
1,1599823181551845376,1599803870775250946,1670262544000.0,2022-12-05 23:19:04,+0530,,@HobbyistRust tbh it's pretty random but if I keep doing try again the model spews out some sketchy stuff.,en,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,1,23,https://twitter.com/simonbuidl/status/1599823181551845376,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'HobbyistRust', 'name': 'Rust Hobbyist', 'id': '1541866640224182272'}]",,,,
2,1599822348277800960,1599773158013227008,1670262345000.0,2022-12-05 23:15:45,+0530,,"@Loopifyyy @PackripEwing EU will regulate the innovation out of it, as per usual.",en,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,1,23,https://twitter.com/simonbuidl/status/1599822348277800960,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'Loopifyyy', 'name': 'Loopify 🧙\u200d♂️', 'id': '868760548674072576'}, {'screen_name': 'PackripEwing', 'name': 'Sean Freidlin', 'id': '1365512127339970562'}]",,,,
3,1599821194181562368,1599803870775250946,1670262070000.0,2022-12-05 23:11:10,+0530,,@HobbyistRust  https://t.co/UnatJjIokv,qme,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,1,23,https://twitter.com/simonbuidl/status/1599821194181562368,[],"['https://pbs.twimg.com/media/FjO0sdmWIAAPTTM.png', 'https://pbs.twimg.com/media/FjO0sdrXwAEwnFw.png', 'https://pbs.twimg.com/media/FjO0sdkX0AA4KcJ.png', 'https://pbs.twimg.com/media/FjO0sdgXwAsOA6s.png']",1,https://pbs.twimg.com/media/FjO0sdmWIAAPTTM.png,False,2,1,0,,None,,,,,,,[],,,,
4,1599805232770187265,1599803870775250946,1670258265000.0,2022-12-05 22:07:45,+0530,,@HobbyistRust What happens if you change ‘will’ to ‘should’ ?  Because will might imply it thinks the police are racist rather than the model? Idk,en,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,1,22,https://twitter.com/simonbuidl/status/1599805232770187265,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'HobbyistRust', 'name': 'Rust Hobbyist', 'id': '1541866640224182272'}]",,,,
5,1599795446813446146,1599792306197999616,1670255931000.0,2022-12-05 21:28:51,+0530,,@asnared Never even heard of this before. Do we like it?,en,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,1,21,https://twitter.com/simonbuidl/status/1599795446813446146,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'asnared', 'name': 'refcell.eth', 'id': '721234540'}]",,,,
6,1599665720182263808,1599658363297890304,1670225002000.0,2022-12-05 12:53:22,+0530,,@realGeorgeHotz It’s like that mirror in harry potter tbh haha,en,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,1,12,https://twitter.com/simonbuidl/status/1599665720182263808,[],[],0,,False,3,0,0,,None,,,,,,,"[{'screen_name': 'realGeorgeHotz', 'name': 'George Hotz 🐀', 'id': '771970414155182081'}]",,,,
7,1598786644307431424,1598710383493136385,1670015414000.0,2022-12-03 02:40:14,+0530,,@autopixel I really like React and tried Svelte last year really liked it but I’m so used to React rn it’s difficult to think in anything else. Definitely looking forward to more adoption and guides to learn from.,en,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,6,02,https://twitter.com/simonbuidl/status/1598786644307431424,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'autopixel', 'name': 'autopixel', 'id': '1435442455529226240'}]",,,,
8,1598228111883399170,1598228111883399170,1669882250000.0,2022-12-01 13:40:50,+0530,,Been toying around with the new chat app on openAI and it's safe to say I need to invest time in learning how to prompt.,en,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,4,13,https://twitter.com/simonbuidl/status/1598228111883399170,[],[],0,,False,1,1,0,,None,,,,,,,[],,,,
9,1598201972473331712,1598195647748145153,1669876018000.0,2022-12-01 11:56:58,+0530,,@DeGatchi nice.,en,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,4,11,https://twitter.com/simonbuidl/status/1598201972473331712,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'DeGatchi', 'name': 'DeGatchi - For Hire', 'id': '1273181659358208002'}]",,,,
10,1597975047901102082,1597973718952730628,1669821915000.0,2022-11-30 20:55:15,+0530,,"@awkweb foundry has a telegram for reporting issues and asking general ""support"" questions. You could emulate something like it? Anything that requires more moderation than a simple chat seems overkill.",en,[],[],1494077891675627533,1494077891675627533,simonbuidl,Simon | 3426.eth,3,20,https://twitter.com/simonbuidl/status/1597975047901102082,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'awkweb', 'name': 'awkweb', 'id': '106590533'}]",,,,
