,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599871912620224512,1599871431319621633,1670274162000.0,2022-12-06 02:32:42,+0530,,@bopvangnon Easy,en,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,2,02,https://twitter.com/gabrielhaines/status/1599871912620224512,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'bopvangnon', 'name': 'surfer', 'id': '1276247865078276097'}]",,,,
1,1599836522563309568,1599836522563309568,1670265725000.0,2022-12-06 00:12:05,+0530,,Can’t wait for @tferriss to @cockpunch me  https://t.co/wTXDOrAkov,en,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,2,00,https://twitter.com/gabrielhaines/status/1599836522563309568,[],['https://pbs.twimg.com/media/FjPC1fqXwAoBlWU.jpg'],1,https://pbs.twimg.com/media/FjPC1fqXwAoBlWU.jpg,False,16,4,1,,None,,,,,,,[],,,,
2,1599832282986344448,1599830459873390593,1670264714000.0,2022-12-05 23:55:14,+0530,,@addUTILITI @stablekwon @Bitboy_Crypto @SBF_FTX Get  em,en,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,1,23,https://twitter.com/gabrielhaines/status/1599832282986344448,[],[],0,,False,7,1,0,,None,,,,,,,"[{'screen_name': 'addUTILITI', 'name': 'UTILITI', 'id': '1480752028368314368'}, {'screen_name': 'stablekwon', 'name': 'Do Kwon 🌕', 'id': '357317524'}, {'screen_name': 'Bitboy_Crypto', 'name': 'Ben Armstrong', 'id': '954005112174862336'}, {'screen_name': 'SBF_FTX', 'name': 'SBF', 'id': '1110877798820777986'}]",,,,
3,1599821494661500930,1599820129122283520,1670262142000.0,2022-12-05 23:12:22,+0530,,@LucBlackburn @mbaril010 😀,und,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,1,23,https://twitter.com/gabrielhaines/status/1599821494661500930,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'LucBlackburn', 'name': 'Luc Blackburn', 'id': '66589378'}, {'screen_name': 'mbaril010', 'name': 'mbaril010.eth 🦇🔊', 'id': '106882516'}]",,,,
4,1599820129122283520,1599820129122283520,1670261816000.0,2022-12-05 23:06:56,+0530,,My favorite vid from the Bahamas  https://t.co/Jbm6eMI0kq,en,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,1,23,https://twitter.com/gabrielhaines/status/1599820129122283520,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1597678423979298820/pu/img/lsq3tQobjmbRitH_.jpg,False,152,8,3,,None,,,,,,,[],,,,
5,1599808957790314503,1599805581636009985,1670259153000.0,2022-12-05 22:22:33,+0530,,@mikewchan @cz_binance @MarioNawfal There was nothing free about that trip,en,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,1,22,https://twitter.com/gabrielhaines/status/1599808957790314503,[],[],0,,False,20,2,0,,None,,,,,,,"[{'screen_name': 'mikewchan', 'name': 'Mike Chan - mikewchan.eth', 'id': '19777264'}, {'screen_name': 'cz_binance', 'name': 'CZ 🔶 Binance', 'id': '902926941413453824'}, {'screen_name': 'MarioNawfal', 'name': 'Mario Nawfal', 'id': '1319287761048723458'}]",,,,
6,1599799209988718597,1599403645522436098,1670256829000.0,2022-12-05 21:43:49,+0530,,@RyoshiLife @SBF_FTX Me 2,und,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,1,21,https://twitter.com/gabrielhaines/status/1599799209988718597,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'RyoshiLife', 'name': 'Ryoshi - 😈⚡️EGLD⚡️😈', 'id': '1463032279018524675'}, {'screen_name': 'SBF_FTX', 'name': 'SBF', 'id': '1110877798820777986'}]",,,,
7,1599798041740836865,1599797019824230400,1670256550000.0,2022-12-05 21:39:10,+0530,,@uCeLiNk @DefNotTheIRS GM,und,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,1,21,https://twitter.com/gabrielhaines/status/1599798041740836865,[],[],0,,False,2,0,0,,None,,,,,,,"[{'screen_name': 'uCeLiNk', 'name': 'Positivity Link Marine (CCIP+DECO Maxi)', 'id': '1372676181510606849'}, {'screen_name': 'DefNotTheIRS', 'name': 'Bill, Rehired CEO of Bonds', 'id': '713258719962750976'}]",,,,
8,1599796796825346050,1599403645522436098,1670256253000.0,2022-12-05 21:34:13,+0530,,@tfius @SBF_FTX No,und,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,1,21,https://twitter.com/gabrielhaines/status/1599796796825346050,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'tfius', 'name': '+ (💙,🧡)', 'id': '33191628'}, {'screen_name': 'SBF_FTX', 'name': 'SBF', 'id': '1110877798820777986'}]",,,,
9,1599796379127549955,1599785231233318912,1670256154000.0,2022-12-05 21:32:34,+0530,,@SelectaCrypto @fintechfrank The fear is palpable,en,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,1,21,https://twitter.com/gabrielhaines/status/1599796379127549955,[],[],0,,False,17,2,0,,None,,,,,,,"[{'screen_name': 'SelectaCrypto', 'name': 'CryptoSelecta 🥣', 'id': '961496191186997248'}, {'screen_name': 'fintechfrank', 'name': 'Frank Chaparro', 'id': '2933805082'}]",,,,
10,1599793898422865921,1599791795827011587,1670255562000.0,2022-12-05 21:22:42,+0530,,@Kleros_ 😂😂😂,und,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,1,21,https://twitter.com/gabrielhaines/status/1599793898422865921,[],[],0,,False,7,1,0,,None,,,,,,,"[{'screen_name': 'Kleros_', 'name': 'Kleros - The Truth and Fairness Protocol', 'id': '1430932380018216965'}]",,,,
11,1599789070732783616,1599594236139438080,1670254411000.0,2022-12-05 21:03:31,+0530,,@vitassie @poordart @DegenSpartan Send,en,[],[],3159122144,3159122144,gabrielhaines,Gabriel Haines | machetes.eth,1,21,https://twitter.com/gabrielhaines/status/1599789070732783616,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'vitassie', 'name': 'vitassie', 'id': '1560438728841101314'}, {'screen_name': 'poordart', 'name': 'poordart', 'id': '1289834351803265025'}, {'screen_name': 'DegenSpartan', 'name': '찌 G 跻 じ 𝙎𝙚𝙣𝙥𝙖𝙞 of the 𝙃𝙚𝙣𝙩𝙖𝙞', 'id': '1978953986'}]",,,,
