,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599753046703030274,1599753002880880641,1670245822000.0,2022-12-05 18:40:22,+0530,,"Arkham provides insights to help regular traders survive.  For more analysis and educational content, join the Arkham Discord:   https://t.co/ASHBuLL0Yl",en,[],[],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753046703030274,['https://discord.gg/arkham'],[],0,,False,4,0,1,,None,,,,,,,[],,,,
1,1599753044282904577,1599753002880880641,1670245822000.0,2022-12-05 18:40:22,+0530,,"In every crisis situation, there are always winners and losers by margins.  The most informed survive, while the less-informed suffer the brunt of circumstance.  In a decentralised world there is no authority to save you.",en,[],[],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753044282904577,[],[],0,,False,1,1,0,,None,,,,,,,[],,,,
2,1599753041820860417,1599753002880880641,1670245821000.0,2022-12-05 18:40:21,+0530,,"There are a number of ways to use this information.  For instance, is there anything important about a specific entity making sudden transfers?  Alternatively: what about a particularly large transfer of one type of coin?",en,[],[],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753041820860417,[],[],0,,False,1,1,0,,None,,,,,,,[],,,,
3,1599753038914207744,1599753002880880641,1670245821000.0,2022-12-05 18:40:21,+0530,,"Likewise: if you wished to analyse the transfers of a specific coin by an address:  You could also look through the transactions manually.  Or, you could use Arkham to filter for coin transfers on a specific address.  https://t.co/zLqhaqjVbA",en,[],[],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753038914207744,[],['https://pbs.twimg.com/media/FjN26KuVQAAElsA.jpg'],1,https://pbs.twimg.com/media/FjN26KuVQAAElsA.jpg,False,1,1,0,,None,,,,,,,[],,,,
4,1599753032329093120,1599753002880880641,1670245819000.0,2022-12-05 18:40:19,+0530,,"For instance - if you wished to identify the counterparties of a specific entity on-chain:  You could look through the transactions manually, or use Arkham's aggregator to identify the highest-volume counterparties of a specific address.  https://t.co/nXPIgHwKxf",en,[],[],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753032329093120,[],['https://pbs.twimg.com/media/FjN25v-UoAAnt0K.jpg'],1,https://pbs.twimg.com/media/FjN25v-UoAAnt0K.jpg,False,2,1,0,,None,,,,,,,[],,,,
5,1599753025865728000,1599753002880880641,1670245817000.0,2022-12-05 18:40:17,+0530,,"With a list of tagged wallets, you can use that - and their interactions - to answer questions you may have about on-chain activity.  Arkham provides tools that simplify this process greatly.",en,[],[],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753025865728000,[],[],0,,False,1,1,0,,None,,,,,,,[],,,,
6,1599753022363471873,1599753002880880641,1670245817000.0,2022-12-05 18:40:17,+0530,,"The second important part of Transaction Analysis is wallet tagging.  This is something that many analysts have to do by themselves.  With Arkham, work by our Intel Team allows entity wallets to be grouped and easily tracked, like Genesis Trading below.  https://t.co/tJJO9o5flL",en,[],[],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753022363471873,[],['https://pbs.twimg.com/media/FjN25GRUcAEs9FE.jpg'],1,https://pbs.twimg.com/media/FjN25GRUcAEs9FE.jpg,False,1,1,0,,None,,,,,,,[],,,,
7,1599753014448832512,1599753002880880641,1670245815000.0,2022-12-05 18:40:15,+0530,,We had no idea what was about to happen then: and could never have guessed at the magnitude of events to follow.  But being forewarned allowed us to stay prepared.  Especially given that one of the most important factors of Transaction Analysis is knowing who's who.,en,[],[],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753014448832512,[],[],0,,False,2,2,0,,None,,,,,,,[],,,,
8,1599753011491840000,1599753002880880641,1670245814000.0,2022-12-05 18:40:14,+0530,,"For instance, 1 month ago Arkham posted about an unusually large transfer of $FTT to Binance, after the @defisniper bot tweeted a notably large move.  The situation then ballooned into the chaos of November with a market-wide selloff and the eventual insolvency of FTX.",en,[],['ftt'],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753011491840000,[],[],0,,False,3,3,1,https://twitter.com/ArkhamIntel/status/1588912360273895424,None,,,,,,,[],,,,
9,1599753008983654400,1599753002880880641,1670245813000.0,2022-12-05 18:40:13,+0530,,"Leads can come from a variety of sources.  Some come from off-chain information, such as rumours that may prompt investigation of a particular entity.  More come from on-chain sources, such as unusual DEX trades, or picked up by bots tracking large transactions.",en,[],[],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753008983654400,[],[],0,,False,1,1,0,,None,,,,,,,[],,,,
10,1599753006529978368,1599753002880880641,1670245813000.0,2022-12-05 18:40:13,+0530,,"Part 1: Leads  Transaction Analysis is typically a 3-part process.  The first part is identifying leads for further investigation.  After that, tagging relevant wallets and adding them to a central database.  Lastly, using on-chain data to answer questions you may have.",en,[],[],1123403704323805184,1123403704323805184,ArkhamIntel,Arkham | Crypto Intelligence,1,18,https://twitter.com/ArkhamIntel/status/1599753006529978368,[],[],0,,False,1,1,1,,None,,,,,,,[],,,,
